Gene_name,activator,agonist,antibody,binder,blocker,cleavage,immunotherapy,inhibitor,inverse agonist,modulator,negative modulator,other/unknown,positive modulator,potentiator,vaccine
ADCY8,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0
ADCY9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCYAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCYAP1R1,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0
ADD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD3,0,15,0,0,0,0,0,3,0,1,0,0,0,0,0
ADFN,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
ADGRB1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ADGRB2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ADGRE1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ADGRE2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRG7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADH1A,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0
ADH1B,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ADH1C,0,39,0,0,0,0,0,2,0,0,0,0,0,0,0
ADH4,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0
ADH5,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0
ADH6,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0
ADH7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADORA1,0,10,0,0,0,0,0,12,0,1,0,0,0,0,0
ADORA2A,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0
ADORA2B,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0
